#wvl [um]      Flux [erg/s/cm]
13.8861337     8375.97609        
13.86687797    8134.26663        
13.84767557    8082.13337        
13.82852627    8143.46615        
13.80942987    8737.27853        
13.79038613    8967.73236        
13.77139485    8115.09665        
13.7524558     8929.28021        
13.73356877    8196.00771        
13.71473354    8270.12962        
13.69594991    8112.87765        
13.67721766    9106.26923        
13.65853659    8462.12065        
13.63990647    9178.14929        
13.62132711    9189.86966        
13.60279829    8205.15468        
13.58431981    9047.09656        
13.56589147    8982.90172        
13.54751306    8279.52961        
13.52918438    8713.36613        
13.51090523    8455.71033        
13.4926754     8710.70499        
13.47449471    8206.9017         
13.45636294    8449.8708         
13.4382799     8520.04835        
13.4202454     8297.08457        
13.40225924    9064.67259        
13.38432122    9351.47471        
13.36643116    9217.4436         
13.34858886    9220.08761        
13.33079413    8625.99353        
13.31304679    8542.16003        
13.29534663    8392.15897        
13.27769347    8940.21041        
13.26008714    8778.68176        
13.24252743    8840.72689        
13.22501417    8627.2659         
13.20754717    9460.03517        
13.19012625    10183.2146        
13.17275122    8911.98359        
13.15542191    8851.8044         
13.13813814    8657.66709        
13.12089972    9084.00213        
13.10370648    9389.93077        
13.08655824    9635.98098        
13.06945482    9412.6528         
13.05239605    9754.80893        
13.03538175    8584.87959        
13.01841175    9086.98757        
13.00148588    10255.2546        
12.98460397    9185.55666        
12.96776584    9139.7106         
12.95097132    9421.69964        
12.93422025    10043.908         
12.91751246    9220.70778        
12.90084777    9590.80934        
12.88422603    10651.9971        
12.86764706    9422.54065        
12.8511107     9407.00438        
12.8346168     9269.90248        
12.81816517    9389.44423        
12.80175567    9764.87854        
12.78538813    9352.37518        
12.76906239    9819.33495        
12.75277828    9098.75862        
12.73653566    9293.54472        
12.72033436    10379.7933        
12.70417423    10208.9109        
12.6880551     9388.06659        
12.67197683    10277.2079        
12.65593925    9604.28338        
12.63994222    9544.5641         
12.62398557    9592.383          
12.60806916    10141.4372        
12.59219284    9176.25239        
12.57635645    10679.0649        
12.56055984    9526.98498        
12.54480287    9764.27098        
12.52908538    9816.39545        
12.51340722    9187.89493        
12.49776826    10381.1197        
12.48216833    9965.86137        
12.4666073     10847.159         
12.45108502    9285.67082        
12.43560135    9957.97352        
12.42015614    10399.9568        
12.40474925    9511.49073        
12.38938053    9344.62298        
12.37404985    9324.35334        
12.35875706    12036.2463        
12.34350203    10828.8642        
12.32828461    10326.3746        
12.31310466    10141.0672        
12.29796205    12372.4308        
12.28285664    9675.44867        
12.26778829    9614.75568        
12.25275687    9749.02151        
12.23776224    10360.8349        
12.22280426    10645.8716        
12.2078828     11382.9124        
12.19299774    10874.0273        
12.17814892    12588.5349        
12.16333623    10810.9545        
12.14855953    10245.501         
12.13381869    11555.7033        
12.11911357    10342.6544        
12.10444406    10463.4245        
12.08981002    10214.488         
12.07521132    9727.76696        
12.06064783    10906.8485        
12.04611943    11305.1735        
12.03162599    10771.0996        
12.01716738    10861.7671        
12.00274348    10384.045         
11.98835417    11580.0695        
11.97399932    10074.0768        
11.9596788     11372.8976        
11.94539249    11355.4576        
11.93114028    11483.6417        
11.91692203    11046.0369        
11.90273763    10274.7627        
11.88858696    10693.8659        
11.87446989    11656.3994        
11.86038631    10747.2409        
11.8463361     13120.5862        
11.83231913    11236.3593        
11.8183353     10226.395         
11.80438449    11350.1314        
11.79046657    11052.0423        
11.77658143    10323.5426        
11.76272895    10923.8241        
11.74890903    10032.385         
11.73512154    10330.0258        
11.72136638    10049.727         
11.70764342    10622.7704        
11.69395256    12681.2867        
11.68029368    12020.9213        
11.66666667    12553.9929        
11.65307142    10184.917         
11.63950782    12591.2104        
11.62597575    10333.3098        
11.61247512    10616.4476        
11.5990058     12083.1054        
11.58556769    12525.9864        
11.57216069    10862.8347        
11.55878468    11087.0417        
11.54543955    10342.9523        
11.53212521    11744.6789        
11.51884153    11268.3468        
11.50558843    13437.1156        
11.49236579    12469.4513        
11.4791735     12275.256         
11.46601147    11968.4349        
11.45287958    10662.7777        
11.43977774    12500.8158        
11.42670584    11482.2622        
11.41366379    13401.2349        
11.40065147    13223.5712        
11.38766878    11336.765         
11.37471563    13278.3588        
11.36179192    12367.841         
11.34889754    13471.2468        
11.33603239    13174.3418        
11.32319638    10719.8069        
11.3103894     11850.5367        
11.29761136    12844.0578        
11.28486216    12830.2438        
11.27214171    11008.8445        
11.2594499     11468.2511        
11.24678663    11816.1931        
11.23415182    11632.3015        
11.22154537    12633.8218        
11.20896717    11989.7309        
11.19641715    12839.3699        
11.18389519    11258.467         
11.17140121    12501.4952        
11.15893512    11899.5093        
11.14649682    13333.4301        
11.13408621    12331.7475        
11.12170321    12382.9879        
11.10934772    12595.2394        
11.09701966    14289.5573        
11.08471892    11618.6838        
11.07244543    10508.4815        
11.06019908    12129.2012        
11.0479798     11481.1326        
11.03578748    10977.5005        
11.02362205    11294.4062        
11.0114834     11708.01          
10.99937146    11624.1693        
10.98728614    11260.6511        
10.97522734    10943.2971        
10.96319499    12446.2026        
10.95118899    12731.7951        
10.93920925    10899.7114        
10.9272557     12503.7082        
10.91532824    12295.9233        
10.90342679    13260.5659        
10.89155127    12137.4515        
10.87970159    11441.6873        
10.86787766    12147.837         
10.8560794     11563.6799        
10.84430674    12376.8051        
10.83255958    12151.038         
10.82083784    12525.6346        
10.80914145    12724.0439        
10.79747031    13240.0294        
10.78582435    11769.867         
10.77420348    12617.0315        
10.76260763    11685.0998        
10.75103671    12283.597         
10.73949064    11953.9315        
10.72796935    11939.7955        
10.71647275    11193.1634        
10.70500076    12897.1261        
10.69355332    13294.572         
10.68213032    12896.5805        
10.67073171    12380.7505        
10.65935739    12237.404         
10.6480073     12787.729         
10.63668136    12547.6465        
10.62537948    12901.6138        
10.61410159    13293.5359        
