#wvl [um]      Flux [erg/s/cm]
9.568069984    15154.4844        
9.558923938    16420.6857        
9.549795362    16435.949         
9.540684203    16960.2466        
9.531590414    15368.6522        
9.522513944    15242.8467        
9.513454743    16136.5966        
9.504412763    14341.3588        
9.495387954    14811.812         
9.486380268    14502.8124        
9.477389656    15011.0376        
9.468416069    16361.355         
9.459459459    13918.5167        
9.450519779    13953.1405        
9.441596979    13317.7531        
9.432691012    14196.475         
9.423801831    16134.232         
9.414929388    16379.2589        
9.406073636    13499.8178        
9.397234528    13574.6359        
9.388412017    16547.3597        
9.379606057    14143.4273        
9.3708166      15024.8486        
9.3620436      15502.3868        
9.353287012    18876.7087        
9.344546789    15231.5231        
9.335822886    15927.5281        
9.327115256    15141.8054        
9.318423855    15773.4081        
9.309748637    15089.3573        
9.301089556    16554.3918        
9.292446568    15203.8676        
9.283819629    14443.8164        
9.275208692    16165.7116        
9.266613715    15199.3374        
9.258034652    15583.98          
9.249471459    14486.2275        
9.240924092    16349.5492        
9.232392509    18273.1259        
9.223876664    14641.7092        
9.215376514    16777.6949        
9.206892016    16046.182         
9.198423127    15492.667         
9.189969804    18008.3869        
9.181532004    15593.5459        
9.173109684    15468.7302        
9.164702802    14114.9363        
9.156311315    15270.0481        
9.14793518     15445.9434        
9.139574357    15989.3951        
9.131228803    16728.9177        
9.122898475    15464.577         
9.114583333    16048.4163        
9.106283336    15228.3065        
9.09799844     15458.5411        
9.089728607    14415.6197        
9.081473793    16798.9322        
9.07323396     16218.4036        
9.065009065    14632.2326        
9.056799068    15121.3975        
9.04860393     16820.3557        
9.040423608    15297.4338        
9.032258065    14370.0046        
9.024107258    14295.2767        
9.015971149    16071.6601        
9.007849698    16816.5613        
8.999742864    15303.7523        
8.99165061     14605.5593        
8.983572895    15432.5506        
8.975509681    15047.2667        
8.967460927    14669.7646        
8.959426597    15827.1901        
8.95140665     14953.2397        
8.943401048    14808.4885        
8.935409752    16251.5387        
8.927432725    16122.8815        
8.919469929    14903.2896        
8.911521324    16391.3362        
8.903586874    15647.552         
8.89566654     18499.615         
8.887760284    16247.4937        
8.879868071    15855.9139        
8.871989861    15799.3928        
8.864125617    14966.0114        
8.856275304    16988.6381        
8.848438883    16539.1699        
8.840616317    15038.9027        
8.832807571    15494.163         
8.825012607    16305.2612        
8.817231389    14825.7346        
8.809463881    15920.5407        
8.801710047    14430.8945        
8.793969849    14808.4169        
8.786243253    15776.1289        
8.778530223    17480.4114        
8.770830723    15538.4572        
8.763144717    14391.6878        
8.75547217     17135.873         
8.747813047    15713.0248        
8.740167312    16450.3422        
8.73253493     14525.1788        
8.724915867    15645.6903        
8.717310087    15146.5344        
8.709717556    15247.8151        
8.70213824     15692.8939        
8.694572103    17118.0869        
8.687019111    14921.7085        
8.679479231    14710.729         
8.671952428    15996.4575        
8.664438668    15846.8894        
8.656937917    14881.0562        
8.649450142    16078.235         
8.641975309    15988.309         
8.634513383    15905.7947        
8.627064333    15964.4479        
8.619628125    15190.6654        
8.612204724    15716.2532        
8.6047941      17116.9126        
8.597396217    15001.8868        
8.590011044    15748.8484        
8.582638548    15522.1453        
8.575278697    17318.1196        
8.567931457    15087.8163        
8.560596796    15454.3797        
8.553274682    15414.0219        
8.545965084    15660.1675        
8.538667968    15250.8182        
8.531383303    15644.4507        
8.524111057    15768.369         
8.516851198    14508.6949        
8.509603696    15959.9221        
8.502368517    15029.1935        
8.495145631    14962.4073        
8.487935007    14792.244         
8.480736613    15050.7968        
8.473550418    17854.0218        
8.466376391    17603.2221        
8.459214502    15123.4508        
8.452064719    15552.8329        
8.444927012    14725.9252        
8.43780135     15858.6595        
8.430687703    14892.1552        
8.423586041    14914.8315        
8.416496333    17500.7657        
8.409418549    18803.1802        
8.402352659    18214.4396        
8.395298633    15764.666         
8.388256441    15752.58          
8.381226054    15016.523         
8.374207441    15080.6631        
8.367200574    14839.2151        
8.360205422    15721.5964        
8.353221957    15093.9029        
8.346250149    15228.3071        
8.339289969    15440.4668        
8.332341388    15098.4477        
8.325404377    14825.0585        
8.318478907    15177.8105        
8.311564949    17125.205         
8.304662475    15704.932         
8.297771456    17732.7052        
8.290891863    16131.5837        
8.284023669    15439.1316        
8.277166844    15320.2507        
8.270321361    15281.2952        
8.263487192    15080.1495        
8.256664308    15686.2018        
8.249852681    15110.1883        
8.243052285    15324.0646        
8.23626309     15198.5803        
8.229485069    16425.9091        
8.222718196    16099.7957        
8.215962441    15791.9572        
8.209217779    15264.262         
8.202484181    15272.0616        
8.19576162     14663.3493        
8.18905007     15850.1114        
8.182349503    15772.5572        
8.175659893    15332.7937        
8.168981211    15609.0789        
8.162313433    14548.9215        
8.15565653     14938.0426        
8.149010477    15425.4472        
8.142375247    15451.9894        
8.135750814    17833.1413        
8.12913715     16022.5869        
8.122534231    15690.0793        
8.115942029    15464.5004        
8.109360519    14990.3432        
8.102789675    16122.7092        
8.09622947     15476.4767        
8.08967988     17153.2354        
